,tweet_id,name,score,dog_category,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,892420643555336193,Phineas,1.3,,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False
1,892177421306343426,Tilly,1.3,,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2,891815181378084864,Archie,1.2,,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
3,891689557279858688,Darla,1.3,,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False
4,891327558926688256,Franklin,1.2,,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
5,891087950875897856,None,1.3,,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False
6,890971913173991426,Jax,1.3,,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
7,890729181411237888,None,1.3,,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True
8,890609185150312448,Zoey,1.3,,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
9,890240255349198849,Cassie,1.4,doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
10,890006608113172480,Koda,1.3,,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
11,889880896479866881,Bruno,1.3,,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False
12,889665388333682689,None,1.3,puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True
13,889638837579907072,Ted,1.2,,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
14,889531135344209921,Stuart,1.3,puppo,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True
15,889278841981685760,Oliver,1.3,,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True
16,888917238123831296,Jim,1.2,,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True
17,888804989199671297,Zeke,1.3,,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True
18,888554962724278272,Ralphus,1.3,,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True
19,888078434458587136,Gerald,1.2,,French_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True
20,887705289381826560,Jeffrey,1.3,,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
21,887517139158093824,such,1.4,,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False
22,887473957103951883,Canela,1.3,,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True
23,887343217045368832,None,1.3,,Mexican_hairless,0.330741,True,sea_lion,0.275645,False,Weimaraner,0.134203,True
24,887101392804085760,None,1.2,,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.029704700000000007,True
25,886983233522544640,Maya,1.3,,Chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False
26,886736880519319552,Mingus,1.3,,kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.08634630000000001,True
27,886680336477933568,Derek,1.3,,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441727,False
28,886366144734445568,Roscoe,1.2,pupper,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True
29,886258384151887873,Waffles,1.3,,pug,0.943575,True,shower_cap,0.0252856,False,Siamese_cat,0.00284892,False
30,885984800019947520,Jimbo,1.2,,Blenheim_spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True
31,885528943205470208,Maisey,1.3,,pug,0.369275,True,Labrador_retriever,0.265835,True,kuvasz,0.134697,True
32,885518971528720385,None,1.4,,,,,,,,,,
33,885167619883638784,None,1.3,,malamute,0.8124819999999999,True,Siberian_husky,0.0717125,True,Eskimo_dog,0.0557697,True
34,884925521741709313,Earl,1.2,,Italian_greyhound,0.259916,True,American_Staffordshire_terrier,0.198451,True,Staffordshire_bullterrier,0.127725,True
35,884876753390489601,Lola,1.3,,chow,0.822103,True,Norwich_terrier,0.106075,True,Norfolk_terrier,0.0373485,True
36,884562892145688576,Kevin,1.3,,pug,0.5464060000000001,True,French_bulldog,0.404291,True,Brabancon_griffon,0.0440019,True
37,884441805382717440,None,1.4,,Pembroke,0.993225,True,Cardigan,0.00321648,True,Chihuahua,0.00208089,True
38,884247878851493888,None,1.3,,,,,,,,,,
39,884162670584377345,Yogi,1.2,doggo,German_shepherd,0.707046,True,malinois,0.199396,True,Norwegian_elkhound,0.0491476,True
40,883838122936631299,Noah,1.2,,Doberman,0.610946,True,miniature_pinscher,0.299603,True,kelpie,0.0630203,True
41,883360690899218434,Grizzwald,1.3,floofer,chow,0.987997,True,Tibetan_mastiff,0.00709872,True,Newfoundland,0.00214033,True
42,883117836046086144,None,1.3,,golden_retriever,0.949562,True,Labrador_retriever,0.045947900000000014,True,kuvasz,0.00247094,True
43,882992080364220416,Rusty,1.3,,Eskimo_dog,0.466778,True,Siberian_husky,0.406044,True,dingo,0.07341439999999999,False
44,882762694511734784,Gus,1.2,pupper,Labrador_retriever,0.85005,True,Chesapeake_Bay_retriever,0.074257,True,flat-coated_retriever,0.015579399999999997,True
45,882627270321602560,Stanley,1.3,,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True
46,882268110199369728,Alfy,1.3,,golden_retriever,0.762211,True,Labrador_retriever,0.0989849,True,cocker_spaniel,0.0171995,True
47,882045870035918850,Koko,1.3,,web_site,0.949591,False,dhole,0.0173258,False,golden_retriever,0.00694063,True
48,881906580714921986,Rey,1.2,,Weimaraner,0.291539,True,Chesapeake_Bay_retriever,0.278966,True,koala,0.12701700000000002,False
49,881666595344535552,Gary,1.3,pupper,Saluki,0.529012,True,Afghan_hound,0.25000300000000003,True,golden_retriever,0.16073900000000002,True
50,881536004380872706,a,1.4,pupper,Samoyed,0.281463,True,Angora,0.272066,False,Persian_cat,0.114854,False
51,881268444196462592,Elliot,1.2,,tusker,0.473303,False,Indian_elephant,0.245646,False,ibex,0.0556607,False
52,880935762899988482,Louis,1.3,,street_sign,0.251801,False,umbrella,0.115123,False,traffic_light,0.0695338,False
53,880872448815771648,None,1.2,,Pembroke,0.791416,True,Norwich_terrier,0.0613929,True,Chihuahua,0.0337257,True
54,880465832366813184,Bella,1.2,,golden_retriever,0.913255,True,Labrador_retriever,0.0263286,True,cocker_spaniel,0.00937082,True
55,880221127280381952,Jesse,1.2,,Chihuahua,0.238525,True,meerkat,0.104256,False,clumber,0.0525803,True
56,880095782870896641,None,1.1,,miniature_pinscher,0.120298,True,Rhodesian_ridgeback,0.106395,True,beagle,0.106073,True
57,879862464715927552,Romeo,1.3,,basset,0.813507,True,beagle,0.146654,True,cocker_spaniel,0.00948502,True
58,879492040517615616,Bailey,1.2,,German_short-haired_pointer,0.479896,True,vizsla,0.124353,True,bath_towel,0.0733202,False
59,879415818425184262,Duddles,1.3,,English_springer,0.383404,True,Boston_bull,0.134967,True,Cardigan,0.110481,True
60,879376492567855104,Jack,1.2,,tricycle,0.663601,False,Labrador_retriever,0.0334961,True,Pembroke,0.0188266,True
61,879050749262655488,Steven,1.1,,tabby,0.311861,False,window_screen,0.169123,False,Egyptian_cat,0.132932,False
62,879008229531029506,Beau,1.3,,vizsla,0.960513,True,miniature_pinscher,0.00943065,True,American_Staffordshire_terrier,0.0087113,True
